filename,split,label,sigma,rho,beta,n_puntos,elevacion,umap_0,umap_1,umap_2,umap_3,umap_4
train_0000.png,train,0,9.8541,28.4404,3.9002,73373,130.9,0.309009,0.555046,0.950091,0.719722,0.727212
train_0001.png,train,0,9.1773,29.0336,3.2953,87605,125.65,0.196223,0.629197,0.647663,0.869532,0.698048
train_0002.png,train,0,8.4314,28.3069,3.8016,72444,165.71,0.071902,0.538368,0.900805,0.709939,0.920634
train_0003.png,train,0,10.1807,27.0261,3.6972,73460,147.06,0.363453,0.378265,0.848603,0.720633,0.816984
train_0004.png,train,0,8.688,28.5968,3.703,85318,176.79,0.114667,0.5746,0.851506,0.845455,0.982153
train_0005.png,train,0,9.8087,29.1527,3.3742,93140,141.94,0.301453,0.644087,0.687086,0.927792,0.788576
train_0006.png,train,0,10.4466,27.6774,3.2413,64309,126.97,0.407759,0.459675,0.620661,0.62431,0.705363
train_0007.png,train,0,8.3376,28.4436,3.6694,78092,154.81,0.05626,0.555446,0.834721,0.769399,0.860061
train_0008.png,train,0,9.418,28.9192,3.1909,87037,152.41,0.236337,0.614895,0.595441,0.863556,0.846704
train_0009.png,train,0,12.0693,27.243,2.2446,10052,56.72,0.678214,0.405376,0.122317,0.053182,0.315119
train_0010.png,train,0,13.8544,26.5957,2.4231,27900,12.74,0.975737,0.324464,0.211564,0.24106,0.070785
train_0011.png,train,0,9.5513,28.7779,3.646,87782,135.02,0.258548,0.597241,0.823006,0.87139,0.750111
train_0012.png,train,0,8.729,29.5115,3.8822,93227,159.2,0.121495,0.688937,0.941108,0.92871,0.884423
train_0013.png,train,0,9.323,29.0836,3.7876,89235,161.98,0.220492,0.635452,0.893812,0.886686,0.899905
train_0014.png,train,0,8.9288,28.5372,3.5402,75379,132.84,0.154794,0.567148,0.77009,0.740832,0.737987
train_0015.png,train,0,9.9489,28.6563,3.474,70752,105.76,0.324823,0.582039,0.736985,0.692129,0.587573
train_0016.png,train,1,13.673,29.0576,3.1198,51511,17.6,0.945503,0.632203,0.559903,0.489597,0.097787
train_0017.png,train,0,9.222,29.1664,3.9038,91022,150.49,0.20366,0.645796,0.951884,0.905503,0.836033
train_0018.png,train,0,8.5775,28.0352,3.6559,76034,174.35,0.096254,0.504397,0.827928,0.747735,0.968585
train_0019.png,train,0,13.5184,27.0059,2.8855,29476,32.48,0.919731,0.375743,0.442749,0.257651,0.180448
train_0020.png,train,0,9.0671,28.8659,3.8567,93027,146.1,0.17785,0.608243,0.928353,0.926602,0.811682
train_0021.png,train,1,13.0321,25.0239,2.5458,38873,46.69,0.83869,0.127994,0.272921,0.356558,0.259373
train_0022.png,train,0,10.5655,28.1624,3.2001,63877,104.29,0.427587,0.520296,0.600055,0.619767,0.579365
train_0023.png,train,1,11.3624,27.3338,3.0529,49597,74.29,0.560401,0.416724,0.526434,0.469444,0.412742
train_0024.png,train,0,8.973,27.4461,3.6096,67873,136.13,0.162168,0.430759,0.804789,0.661822,0.756279
train_0025.png,train,0,10.9332,27.999,3.408,72924,109.34,0.488869,0.499872,0.703994,0.714997,0.607456
train_0026.png,train,0,11.9926,26.9857,2.3978,14242,60.38,0.665434,0.373212,0.198901,0.097291,0.335438
train_0027.png,train,1,13.5603,24.1141,2.3056,33777,30.64,0.92672,0.014266,0.152783,0.302924,0.170225
train_0028.png,train,0,12.7627,28.5719,2.1388,6422,31.92,0.793787,0.571491,0.069389,0.014969,0.177322
train_0029.png,train,1,12.8398,28.2926,2.6215,43588,25.32,0.806634,0.536575,0.310762,0.406196,0.140694
train_0030.png,train,1,13.6453,28.0292,3.1981,47693,29.47,0.940891,0.503654,0.599038,0.44941,0.163719
train_0031.png,train,0,8.6795,30.0482,3.6389,82145,140.28,0.113257,0.75603,0.819446,0.812062,0.779318
train_0032.png,train,0,13.3035,24.7997,2.4238,42779,38.3,0.88391,0.099963,0.211909,0.397678,0.21277
train_0033.png,train,0,12.9507,26.3446,2.3034,10668,38.86,0.825117,0.29308,0.151722,0.059664,0.215901
train_0034.png,train,0,10.1298,26.7999,3.1423,71711,133.47,0.354964,0.349982,0.571144,0.702223,0.741476
train_0035.png,train,1,13.7796,26.8411,2.0821,31367,5.99,0.96327,0.355139,0.041053,0.277548,0.033276
train_0036.png,train,0,9.0873,27.3957,3.584,71210,169.09,0.181221,0.424465,0.791978,0.69695,0.939403
train_0037.png,train,1,13.5222,28.7056,3.0516,57406,19.67,0.920365,0.588198,0.525784,0.551648,0.109278
train_0038.png,train,1,12.8693,28.7939,2.8017,53751,43.39,0.811552,0.599237,0.400855,0.513177,0.241074
train_0039.png,train,0,9.5538,27.7719,3.6123,82946,169.08,0.258964,0.471492,0.806171,0.820493,0.939328
train_0040.png,train,0,9.4568,28.9547,3.1497,94679,137.39,0.242807,0.619343,0.574844,0.943994,0.763297
train_0041.png,train,1,11.6147,27.4854,3.1616,59814,78.68,0.602452,0.435681,0.580805,0.576995,0.437107
train_0042.png,train,0,9.5124,27.7692,3.6861,79290,169.14,0.252066,0.471147,0.843046,0.782007,0.93965
train_0043.png,train,0,10.7412,26.9665,2.9725,67618,134.34,0.456859,0.370813,0.486241,0.659143,0.746307
train_0044.png,train,0,8.2812,30.3817,3.5903,90495,150.5,0.04687,0.797714,0.795159,0.899949,0.836106
train_0045.png,train,0,10.2066,28.8553,3.443,71601,123.57,0.367771,0.606916,0.721497,0.701064,0.686524
train_0046.png,train,1,13.2038,28.6248,2.6938,54085,17.23,0.867293,0.578095,0.346922,0.516688,0.095721
train_0047.png,train,0,8.8606,27.8694,3.5583,69152,132.61,0.143441,0.483681,0.77916,0.67529,0.736696
train_0048.png,train,1,12.9326,28.7172,2.7667,61122,29.07,0.822093,0.589655,0.383368,0.590764,0.161509
train_0049.png,train,1,13.6725,28.3324,2.458,32571,8.9,0.94542,0.541547,0.229022,0.290231,0.049468
train_0050.png,train,1,10.5559,27.0669,3.1764,67216,132.45,0.425989,0.383366,0.588191,0.654906,0.735849
train_0051.png,train,1,13.4978,28.7459,2.2471,36939,5.61,0.916303,0.593233,0.123544,0.336209,0.031148
train_0052.png,train,0,13.0057,27.1811,2.201,8775,32.86,0.83428,0.397635,0.100498,0.039743,0.182558
train_0053.png,train,0,12.7688,28.3816,2.6468,51643,36.01,0.794798,0.547699,0.323377,0.490979,0.200083
train_0054.png,train,1,12.542,27.912,2.9515,57851,42.61,0.757001,0.488998,0.475751,0.556328,0.236748
train_0055.png,train,1,13.0849,28.6783,2.7113,47915,22.76,0.847489,0.584792,0.355654,0.451741,0.12644
train_0056.png,train,1,13.3045,28.505,2.9159,45302,22.52,0.884084,0.563131,0.457975,0.424242,0.125136
train_0057.png,train,0,8.386,28.8863,3.9013,75042,169.78,0.064334,0.610793,0.950661,0.737293,0.943238
train_0058.png,train,0,9.1563,29.4419,3.4374,87290,126.09,0.192717,0.680241,0.718677,0.866213,0.700482
train_0059.png,train,0,13.429,25.0939,2.1802,27882,28.04,0.904825,0.136733,0.090111,0.240869,0.155803
train_0060.png,train,0,9.5908,28.7355,3.302,87705,139.84,0.265134,0.591933,0.651014,0.870581,0.776914
train_0061.png,train,1,12.9207,28.9506,2.6685,54917,25.46,0.820124,0.618823,0.334244,0.525444,0.141438
train_0062.png,train,0,9.1341,29.0113,3.8532,93196,166.26,0.189022,0.626409,0.926623,0.928385,0.923688
train_0063.png,train,1,10.2734,28.6125,3.4829,66970,111.82,0.378893,0.576559,0.741438,0.652319,0.621213
train_0064.png,train,1,11.028,27.2584,3.1616,66532,107.57,0.504669,0.407295,0.580821,0.647714,0.59761
train_0065.png,train,0,8.7017,29.0596,3.5813,97002,157.47,0.116955,0.632453,0.790661,0.968446,0.874811
train_0066.png,train,0,9.052,29.2232,3.9045,86775,144.07,0.175332,0.652898,0.952268,0.860795,0.800366
train_0067.png,train,1,12.1453,28.0209,3.0616,58447,58.16,0.690877,0.502609,0.5308,0.562602,0.32313
train_0068.png,train,0,13.3829,25.5462,2.5445,44917,35.03,0.897158,0.193274,0.272238,0.42018,0.194619
train_0069.png,train,0,9.2619,29.7052,3.5765,84667,155.36,0.210317,0.713147,0.788253,0.8386,0.863123
train_0070.png,train,0,10.0611,28.7448,3.4227,74677,116.18,0.343515,0.593104,0.71136,0.733446,0.645468
train_0071.png,train,0,10.9194,27.9361,3.3095,74537,120.78,0.486573,0.492015,0.654747,0.731978,0.671026
train_0072.png,train,0,9.861,28.6535,3.9249,78037,140.86,0.310168,0.58169,0.962429,0.768818,0.78255
train_0073.png,train,0,9.8678,29.4385,3.3822,86349,123.53,0.311305,0.679817,0.691105,0.856315,0.68628
train_0074.png,train,1,10.903,27.252,3.5092,72069,132.44,0.483831,0.406501,0.754608,0.705995,0.735773
train_0075.png,train,0,9.8661,29.2709,3.2616,93754,137.24,0.311021,0.658859,0.630821,0.934261,0.76244
train_0076.png,train,0,12.0669,27.8372,2.9751,52101,53.18,0.67782,0.479644,0.487561,0.495808,0.295456
train_0077.png,train,0,10.3419,27.5367,3.3908,68890,134.12,0.39031,0.442084,0.695417,0.672536,0.745101
train_0078.png,train,1,11.3189,26.0765,3.0236,74833,111.52,0.553152,0.259566,0.511807,0.735093,0.619546
train_0079.png,train,0,8.733,28.7066,3.7012,73816,173.09,0.122167,0.588319,0.850605,0.724388,0.961606
train_0080.png,train,0,9.8227,26.6988,3.3425,73713,135.74,0.303783,0.337346,0.671259,0.723296,0.754118
train_0081.png,train,0,9.759,27.1297,3.6944,73706,160.5,0.293165,0.391214,0.847219,0.723225,0.89168
train_0082.png,train,1,13.5591,28.6071,3.111,54077,22.26,0.926509,0.575892,0.555485,0.516611,0.123653
train_0083.png,train,0,9.3844,28.9894,3.9688,90874,152.45,0.230737,0.623671,0.9844,0.903938,0.846934
train_0084.png,train,0,8.7258,27.5371,3.6151,72899,169.49,0.120962,0.442133,0.807572,0.714734,0.941632
train_0085.png,train,0,11.0589,27.0141,3.3846,71780,128.46,0.509812,0.376765,0.692319,0.70295,0.713682
train_0086.png,train,1,13.7928,26.5737,2.1022,23438,9.7,0.965474,0.32171,0.051122,0.194086,0.053886
train_0087.png,train,0,8.9776,27.942,3.694,77499,176.16,0.162928,0.492746,0.846994,0.763155,0.978669
train_0088.png,train,0,12.8153,28.7288,2.2191,5000,28.86,0.80255,0.591104,0.109551,0.0,0.160312
train_0089.png,train,0,9.8067,29.056,3.3263,89510,136.26,0.301119,0.631994,0.663134,0.889582,0.756983
train_0090.png,train,0,8.4339,28.6571,3.721,78382,169.95,0.072312,0.582139,0.860494,0.772443,0.944193
train_0091.png,train,0,9.8513,28.6391,3.9269,86598,157.81,0.308548,0.579886,0.963432,0.858935,0.876743
train_0092.png,train,0,8.5392,28.4587,3.832,74076,173.59,0.089869,0.557335,0.916019,0.727124,0.964374
train_0093.png,train,0,9.0947,28.3571,3.6136,78086,136.27,0.182456,0.544635,0.806797,0.769331,0.757076
train_0094.png,train,1,12.8366,27.4171,2.6849,54073,36.42,0.806106,0.427143,0.342472,0.516559,0.202318
train_0095.png,train,1,8.3521,28.5805,3.6987,67044,150.51,0.058679,0.572559,0.849343,0.653102,0.836167
train_0096.png,train,1,9.0182,28.7575,3.2119,90697,141.89,0.169701,0.594686,0.605972,0.902083,0.788276
train_0097.png,train,0,8.2343,29.9863,3.5468,89136,146.76,0.039053,0.748284,0.773394,0.885645,0.815355
train_0098.png,train,0,10.487,26.831,2.9963,69477,140.1,0.414498,0.353877,0.498159,0.678706,0.778349
train_0099.png,train,1,13.8066,27.176,2.3335,30825,9.73,0.967767,0.396999,0.166775,0.271843,0.05403
train_0100.png,train,0,11.9502,27.8343,2.7984,60346,69.09,0.658375,0.479291,0.399187,0.582591,0.383841
train_0101.png,train,1,13.8486,26.4045,2.2873,26845,12.94,0.974763,0.300565,0.143636,0.229955,0.071913
train_0102.png,train,1,13.7714,27.4547,2.2697,25313,12.09,0.961907,0.431843,0.134862,0.213826,0.06716
train_0103.png,train,0,9.9142,29.3949,3.467,77185,127.67,0.319039,0.674369,0.733518,0.759846,0.709271
train_0104.png,train,1,13.858,27.1395,2.1039,28136,3.36,0.976329,0.392439,0.051935,0.243541,0.018647
train_0105.png,train,1,13.6006,24.1963,2.31,32072,28.78,0.933425,0.024535,0.155012,0.284975,0.159911
train_0106.png,train,1,12.9153,26.9924,2.5112,13621,39.22,0.819224,0.374054,0.255591,0.090753,0.217898
train_0107.png,train,1,13.0804,26.9624,2.4146,11925,33.88,0.846736,0.370295,0.207315,0.072901,0.188218
train_0108.png,train,1,13.1044,28.6419,2.8319,59520,19.66,0.850741,0.58024,0.415929,0.573899,0.109249
train_0109.png,train,0,8.8518,27.0879,3.5808,66293,147.47,0.141974,0.385984,0.790423,0.645196,0.819276
train_0110.png,train,1,12.4453,28.0384,2.1821,9665,43.21,0.740889,0.504805,0.09103,0.049107,0.240031
train_0111.png,train,0,8.7452,29.0593,3.1935,97528,149.87,0.124203,0.632413,0.596748,0.973986,0.832622
train_0112.png,train,1,12.7782,28.7647,2.107,7819,30.01,0.796373,0.595591,0.053497,0.029675,0.166713
train_0113.png,train,0,12.2428,27.3402,2.1733,8573,51.78,0.707134,0.417527,0.086635,0.037618,0.28767
train_0114.png,train,0,9.2821,28.4798,3.8144,89843,170.15,0.213678,0.559977,0.907203,0.893085,0.945302
train_0115.png,train,1,13.8729,27.2828,2.2207,26720,4.26,0.978814,0.410344,0.110371,0.228637,0.023665
train_0116.png,train,0,10.0199,26.7151,3.4305,65072,126.78,0.336647,0.339387,0.715231,0.632342,0.704355
train_0117.png,train,0,9.4916,27.8606,3.7525,87267,171.12,0.248606,0.482578,0.876268,0.865978,0.95066
train_0118.png,train,0,10.7751,27.5574,3.552,73253,128.5,0.462522,0.444677,0.775992,0.718454,0.713872
train_0119.png,train,0,9.3629,30.0685,3.4895,84443,152.3,0.227151,0.758563,0.744735,0.836245,0.846085
train_0120.png,train,1,13.3617,28.6569,2.6799,46025,14.27,0.893623,0.582116,0.339961,0.431849,0.079251
train_0121.png,train,0,9.2283,28.8652,3.9394,89510,161.62,0.204709,0.608148,0.969682,0.889579,0.897901
train_0122.png,train,0,8.2188,29.73,3.6282,85068,147.96,0.036469,0.716255,0.814089,0.842821,0.822021
train_0123.png,train,0,8.379,29.9974,3.6826,85784,147.55,0.063164,0.74968,0.841314,0.850359,0.819721
train_0124.png,train,1,13.0838,28.6457,2.7155,55919,18.79,0.8473,0.580711,0.357737,0.535997,0.104371
train_0125.png,train,0,10.1795,26.8701,3.427,70103,142.37,0.363247,0.358768,0.713498,0.685296,0.790966
train_0126.png,train,1,13.5269,28.3795,3.0155,51917,24.31,0.921143,0.547431,0.507737,0.493864,0.135032
train_0127.png,train,1,13.645,28.6594,3.0967,49056,21.39,0.940838,0.582424,0.548333,0.463747,0.118845
train_0128.png,train,1,13.4652,27.3961,2.5023,19048,22.29,0.910863,0.424517,0.251128,0.147883,0.123837
train_0129.png,train,0,9.0291,28.5664,3.4077,87315,139.06,0.17152,0.570805,0.703835,0.866483,0.772546
train_0130.png,train,0,9.2561,29.0066,3.5133,94469,154.16,0.209347,0.62583,0.756643,0.941783,0.856419
train_0131.png,train,1,12.69,28.1497,2.1607,7296,36.21,0.781669,0.518714,0.080357,0.024171,0.201152
train_0132.png,train,0,9.8261,28.9794,3.9991,75774,132.23,0.304356,0.622423,0.99957,0.744997,0.734613
train_0133.png,train,1,13.7847,25.588,2.5116,36930,23.18,0.96411,0.198496,0.255823,0.336113,0.128755
train_0134.png,train,0,8.2382,30.4692,3.44,93215,147.28,0.039699,0.808651,0.720008,0.928588,0.818246
train_0135.png,train,1,13.7068,26.5105,3.0249,44095,34.34,0.951134,0.313807,0.512456,0.411535,0.190791
train_0136.png,train,1,13.771,26.7261,2.1082,29898,7.78,0.961826,0.340765,0.054109,0.262093,0.043218
train_0137.png,train,1,13.4768,27.163,2.1639,13934,19.5,0.912808,0.395369,0.081956,0.094052,0.108336
train_0138.png,train,1,13.0526,28.7875,2.8086,61223,21.98,0.842093,0.598435,0.404282,0.591831,0.122102
train_0139.png,train,1,13.9094,26.6839,2.282,25081,6.33,0.984897,0.335493,0.140993,0.211383,0.035139
train_0140.png,train,0,13.1161,26.4863,2.5308,15721,37.45,0.852683,0.310787,0.265417,0.112856,0.208042
train_0141.png,train,0,10.437,28.394,3.3277,64570,119.97,0.406167,0.549248,0.663859,0.627056,0.666502
train_0142.png,train,0,10.6724,26.7348,3.4276,68017,133.62,0.445393,0.341849,0.713784,0.663338,0.742315
